Age,Gender,Breastfeeding/Pregnant,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B6,Vitamin B12,Vitamin C,Calcium,Copper,Iron heme,Iron (non-heme),Magnesium,Phosporus,Potassium,Selenium,Zinc
46,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
47,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
48,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
49,Female,Breastfeeding,1300,1.4,1.6,2,2.8,120,1000,1300,9,18,320,700,2800,70,12
15,Female,Pregnant,750,1.4,1.4,1.9,2.6,80,1300,1000,27,54,400,1250,2600,60,12
16,Female,Pregnant,750,1.4,1.4,1.9,2.6,80,1300,1000,27,54,400,1250,2600,60,12
17,Female,Pregnant,750,1.4,1.4,1.9,2.6,80,1300,1000,27,54,400,1250,2600,60,12
18,Female,Pregnant,750,1.4,1.4,1.9,2.6,80,1300,1000,27,54,400,1250,2600,60,12
19,Female,Pregnant,750,1.4,1.4,1.9,2.6,80,1300,1000,27,54,400,1250,2600,60,12
20,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
21,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
22,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
23,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
24,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
25,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
26,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
27,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
28,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
29,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
30,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
31,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
32,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
33,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
34,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
35,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
36,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
37,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
38,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
39,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
40,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
41,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
42,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
43,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
44,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
45,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
46,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
47,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
48,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
49,Female,Pregnant,770,1.4,1.4,1.9,2.6,85,1000,1000,27,54,360,700,2900,60,11
